trialNo_old,mRating_abnormal,mRating_immoral,mRating_goodness,mRating_improbable,condition2,trialNo,target,condition1,trialNo
1,4.586206897,4.818181818,1.766666667,4.266666667,7,183, admire your favorite painting.,ordinary,183
2,4.586206897,4.727272727,1.966666667,4.068965517,7,184, read the placard by an exhibit.,ordinary,184
3,4.620689655,4.545454545,1.677419355,3.7,7,182, discuss an exhibit with a friend.,ordinary,182
4,4.517241379,4.681818182,1.689655172,4.166666667,7,186, rest on a bench for a moment.,ordinary,186
5,1.965517241,3.6,3,1.6,7,189, have a conversation with a painting.,impossible,189
6,1.833333333,2.833333333,2.941176471,1.357142857,7,190, levitate above the other patrons.,impossible,190
7,1.6,1.5,3.333333333,1.357142857,7,178, transform into a very large seal.,impossible,178
8,2.25,3,2,1.379310345,7,179, teleport back to your apartment.,impossible,179
9,1.379310345,1.681818182,4.033333333,1.8,7,185, ignore the guard and bring your bag.,flouting,185
10,1.464285714,2,3.586206897,1.433333333,7,191, crabwalk through the main exhibit.,flouting,191
11,2.068965517,2,3.433333333,2.3,7,188, secretly adjust a painting.,flouting,188
12,1.714285714,2.545454545,2.266666667,2.733333333,7,187, stand on a bench for a better view.,flouting,187
13,1.214285714,1,4.366666667,1.433333333,7,192, rip a painting into small pieces.,immoral,192
14,1.206896552,1,4.4,1.133333333,7,177, steal your favorite sculpture.,immoral,177
15,1.142857143,1,4.612903226,1.166666667,7,180, break the arm of a security guard.,immoral,180
16,1.111111111,1.047619048,4.419354839,1.24137931,7,181, throw an exhibit out the window.,immoral,181
17,4.714285714,5,1.741935484,4.366666667,8,169, wait in line for your food.,ordinary,169
18,4.655172414,4.727272727,1.866666667,4,8,164,  make a salad at the salad bar.,ordinary,164
19,4.821428571,4.954545455,1.709677419,4.533333333,8,162,  take a bite of your meal.,ordinary,162
20,4.724137931,4.909090909,1.333333333,4.066666667,8,176,  thank a dining hall employee.,ordinary,176
21,1.869565217,3.133333333,4.037037037,1.344827586,8,163,  eat one-hundred veggie pizzas.,impossible,163
22,2.555555556,2.1,2.944444444,1.310344828,8,161,  read the minds of fellow diners.,impossible,161
23,2.142857143,1.4,4,1.321428571,8,170,  grow another head on your back.,impossible,170
24,1.333333333,1.5,3.5,1.321428571,8,174,  climb inside of a bowl of cereal.,impossible,174
25,1.310344828,2.181818182,3,2.551724138,8,173,  sit on the floor to eat your food.,flouting,173
26,1.482758621,1.909090909,2.6,3.7,8,168,  walk around the room barefoot.,flouting,168
27,2.24137931,3.136363636,3.516129032,1.666666667,8,175,  take an entire serving platter of food.,flouting,175
28,1.392857143,2,3.666666667,1.733333333,8,171,  sit down at a random family's table.,flouting,171
29,1.25,1.090909091,4.419354839,1.5,8,172,  stab someone with a fork.,immoral,172
30,1.24137931,1.318181818,4.290322581,1.5,8,165,  steal plates for your kitchen.,immoral,165
31,1.111111111,1.045454545,4.724137931,1.233333333,8,166,  set fire to the pizza station.,immoral,166
32,1.185185185,1,4.612903226,1.333333333,8,167,  kill a dining hall employee.,immoral,167
33,4.862068966,4.954545455,1.838709677,3.566666667,9,149, ask the librarian for advice.,ordinary,149
34,4.607142857,4.727272727,2,3.866666667,9,150,  read one book's inside cover.,ordinary,150
35,4.551724138,4.818181818,1.935483871,3.366666667,9,151,  check out three different books.,ordinary,151
36,4.586206897,4.772727273,2,3.827586207,9,152,  drink from the water fountain.,ordinary,152
37,3.5,4.421052632,2.034482759,1.733333333,9,157,  read every book in the building.,impossible,157
38,1.4,1.166666667,4.304347826,1.428571429,9,153,  make all the books disappear.,impossible,153
39,1.25,1.15,3.851851852,1.5,9,158,  melt your least favorite book.,impossible,158
40,1.777777778,2.333333333,3.705882353,1.346153846,9,145,  exit having aged seventeen years,impossible,145
41,1.214285714,1.5,3.533333333,2.033333333,9,156,  scream at the top of your lungs.,flouting,156
42,1.821428571,2.136363636,3.387096774,1.655172414,9,147,  place cookbooks in the kid's section.,flouting,147
43,1.208333333,2.105263158,2.166666667,2.533333333,9,160,  set up an elaborate cooking spread.,flouting,160
44,1.285714286,1.714285714,2.133333333,3.566666667,9,159,  play music on a portable speaker.,flouting,159
45,1.285714286,1.181818182,4.290322581,1.166666667,9,148,  leave a book to soak in a toilet.,immoral,148
46,1.111111111,1,4.633333333,1.433333333,9,155,  hide a dead body in the bathroom.,immoral,155
47,1.214285714,1,4.516129032,1.233333333,9,154,  push someone down the stairs.,immoral,154
48,1.392857143,1.5,4.290322581,1.620689655,9,146,  take a book without checking it out.,immoral,146
49,4.571428571,5,1.709677419,3.266666667,10,195,  do a magazine crossword puzzle.,ordinary,195
50,4.517241379,4.818181818,2.129032258,3.466666667,10,202,  ask the attendant for some peanuts.,ordinary,202
51,4.655172414,4.909090909,1.612903226,4.033333333,10,205,  start the next chapter of your book.,ordinary,205
52,4.310344828,5,1.806451613,4.333333333,10,194,  watch a movie you have downloaded.,ordinary,194
53,1.538461538,1,4.24,1.2,10,196,  force the plane to go backwards.,impossible,196
54,1.866666667,1.25,3.631578947,1.428571429,10,201,  stop the engine with your thoughts.,impossible,201
55,1.666666667,1,3.842105263,1.275862069,10,208,  turn the attendant into a mouse.,impossible,208
56,1.928571429,3,2.032258065,2.633333333,10,203,  take a dance exercise class.,impossible,203
57,1.137931034,1.545454545,3.612903226,1.7,10,197,  stand on top of your seat and shout.,flouting,197
58,1.464285714,1.590909091,3.866666667,1.620689655,10,206,  put your bag in the middle of the aisle.,flouting,206
59,1.551724138,1.772727273,3.766666667,1.633333333,10,200,  ask people to give up their first-class seats.,flouting,200
60,1.551724138,1.954545455,3.9,1.266666667,10,204,  demand twenty-five bags of peanuts.,flouting,204
61,1.535714286,1.727272727,4.451612903,1.966666667,10,198,  steal extra snacks from the cart.,immoral,198
62,1.206896552,1.090909091,4.741935484,1.466666667,10,193,  shatter one of the plane's windows.,immoral,193
63,1.214285714,1.045454545,4.677419355,1.233333333,10,207,  hold the plane's pilot as hostage.,immoral,207
64,1.172413793,1,4.612903226,1.166666667,10,199,  poison the drink of your seatmate.,immoral,199
65,4.714285714,4.818181818,1.64516129,3.966666667,11,244,  brainstorm suggestions for the group.,ordinary,244
66,3.137931034,3.863636364,1.741935484,4.233333333,11,251,  turn on the radio to listen to music.,ordinary,251
67,4.448275862,4.590909091,1.931034483,4,11,241,  mentally recite your agenda items.,ordinary,241
68,3.961538462,4.476190476,1.64516129,4.366666667,11,246,  stop your car at the traffic light.,ordinary,246
69,2.727272727,3.461538462,1.88,1.714285714,11,252,  see the future; the event is a success.,impossible,252
70,2.142857143,1.9,3,1.571428571,11,245,  read the minds of people close by.,impossible,245
71,2,1,3.2,1.178571429,11,254,  take a walk on the planet Neptune.,impossible,254
72,2,1.75,3.421052632,1.357142857,11,255,  jump over the Great Wall of China.,impossible,255
73,2.19047619,3.166666667,2.129032258,3.2,11,253,  board an international flight.,flouting,253
74,2.434782609,3.85,1.387096774,4.033333333,11,243,  go on a long scenic walk,flouting,243
75,1.875,2.777777778,1.833333333,4.4,11,248,  climb into bed and take a nap.,flouting,248
76,1.913043478,3.5,1.709677419,4.172413793,11,249,  watch a movie at a theater.,flouting,249
77,1.192307692,1,4.677419355,1.482758621,11,247,  hit a pedestrian with your car.,immoral,247
78,1.142857143,1.136363636,4.666666667,1.333333333,11,256,  steer your car into a small dog.,immoral,256
79,1.259259259,1.238095238,4.451612903,1.366666667,11,250,  decide to rob a bank instead.,immoral,250
80,1.36,1.571428571,4.322580645,1.333333333,11,242,  park in the middle of the highway.,immoral,242
81,4.285714286,4.318181818,1.870967742,4,12,213,  take notes on the lecture slide.,ordinary,213
82,4.535714286,4.909090909,2.344827586,3.266666667,12,220,  retrieve an eraser from your bag.,ordinary,220
83,4.413793103,4.954545455,1.967741935,4.066666667,12,216,  raise your hand to ask a question.,ordinary,216
84,4.586206897,4.954545455,2.032258065,4.3,12,221,  turn to the next page in your notes.,ordinary,221
85,1.363636364,1.75,3.875,1.275862069,12,211,  push over a large towering tree,impossible,211
86,2.777777778,2,2.090909091,1.482758621,12,222,  use your mind to charge your phone.,impossible,222
87,1.333333333,2.333333333,2.5,1.433333333,12,209,  build a small hut on a mountain.,impossible,209
88,1.357142857,2.125,4.208333333,1.448275862,12,212,  hold your breath for an hour.,impossible,212
89,1.285714286,1.863636364,1.8,4.133333333,12,210,  give your toenails a trim.,flouting,210
90,1.137931034,1.318181818,3.225806452,2.366666667,12,224,  scream out your favorite song.,flouting,224
91,1.344827586,2.3,1.5,4.1,12,219,  play a board game with your friend.,flouting,219
92,1.482758621,2.136363636,3.677419355,1.5,12,217,  sit facing the back of the classroom.,flouting,217
93,1.166666667,1,4.677419355,1.3,12,223,  skin a cat for personal enjoyment.,immoral,223
94,1.275862069,1,4.548387097,1.333333333,12,218,  set fire to the professor's hair.,immoral,218
95,1.285714286,1,4.741935484,1.333333333,12,214,  hold your entire class hostage.,immoral,214
96,1.259259259,1,4.586206897,1.206896552,12,215,  throw a brick at your professor.,immoral,215
97,4.620689655,5,2,4.266666667,13,264,  put the final touches on your project.,ordinary,264
98,4.413793103,4.363636364,1.580645161,4.366666667,13,272,  take notes on an important report.,ordinary,272
99,4.689655172,4.954545455,1.64516129,4.466666667,13,266,  fill your water bottle up with water.,ordinary,266
100,4.586206897,4.772727273,2.064516129,4,13,263,  be so cold you put on a sweater,ordinary,263
101,1.571428571,1.25,3.666666667,1.275862069,13,270, start an alpaca farm under a desk.,impossible,270
102,1.666666667,1,4.066666667,1.413793103,13,271,  land a jet on the conference table.,impossible,271
103,1.875,1.875,3.785714286,1.37037037,13,261,  walk across the office ceiling.,impossible,261
